from,to,weight,money,transferart,saison 
lw,luqu,3200000,2,1,21_22
luqu,rbn,3200000,2,1,21_22
rbs,ca_co,580000,2,1,21_22
ca_co,rbn,580000,2,1,21_22
imi,le_mo,1090000,2,1,21_22
le_mo,rbn,1090000,2,1,21_22
nsc,dy_ne,180000,2,1,21_22
dy_ne,rbn,180000,2,1,21_22
stan,za_ry,0,1,3,21_22
za_ry,rbn,0,1,3,21_22
yara,je_ca,0,1,3,21_22
je_ca,rbn,0,1,3,21_22
penn,se_ku,0,1,4,21_22
se_ku,rbn,0,1,4,21_22
navy,ma_no,0,1,4,21_22
ma_no,rbn,0,1,4,21_22
fgcu,ov_mu,0,1,4,21_22
ov_mu,rbn,0,1,4,21_22
geor,gi_ni,0,1,4,21_22
gi_ni,rbn,0,1,4,21_22
rbl,ca_cl,0,1,2,21_22
ca_cl,rbn,0,1,2,21_22
watf,as_fl,0,1,2,21_22
as_fl,rbn,0,1,2,21_22
stok,to_ed,0,1,2,21_22
to_ed,rbn,0,1,2,21_22
danu,lu_mo,0,1,2,21_22
lu_mo,rbn,0,1,2,21_22
rbn,ca_cl,1800000,2,1,21_22
ca_cl,rbl,1800000,2,1,21_22
rbn,ky_du,0,1,3,21_22
ky_du,kvoo,0,1,3,21_22
rbn,se_da,0,1,3,21_22
se_da,nsc,0,1,3,21_22
rbn,am_ta,0,1,3,21_22
am_ta,egfc,0,1,3,21_22
rbn,ma_jo,0,1,3,21_22
ma_jo,esbj,0,1,3,21_22
rbn,is_dr,0,1,3,21_22
is_dr,pfkl,0,1,3,21_22
rbn,lu_le,0,1,3,21_22
lu_le,cese,0,1,3,21_22
rbn,fl_va,0,1,3,21_22
fl_va,cinc,0,1,3,21_22
rbn,da_je,0,1,2,21_22
da_je,kvcw,0,1,2,21_22
rbn,om_so,0,1,2,21_22
om_so,brei,0,1,2,21_22
rbn,ja_la,0,1,2,21_22
ja_la,tbro,0,1,2,21_22
rbn,ca_cl,0,1,2,21_22
ca_cl,rbl,0,1,2,21_22
rbn,to_ed,0,1,2,21_22
to_ed,stok,0,1,2,21_22
rbn,fa_go,0,1,2,21_22
fa_go,oest,0,1,2,21_22
rbn,an_gu,0,1,2,21_22
an_gu,atla,0,1,2,21_22
rbn,ca_co,0,1,2,21_22
ca_co,rbs,0,1,2,21_22
rbn,yo_di,0,1,2,21_22
yo_di,rbs,0,1,2,21_22
unio,da_va,5000000,2,1,22_23
da_va,rbn,5000000,2,1,22_23
phil,co_bu,0,1,3,22_23
co_bu,rbn,0,1,3,22_23
hous,ty_pa,0,1,3,22_23
ty_pa,rbn,0,1,3,22_23
ucon,ja_re,0,1,3,22_23
ja_re,rbn,0,1,3,22_23
dublue,pe_st,0,1,3,22_23
pe_st,rbn,0,1,3,22_23
gui_fc,ro_do,0,1,3,22_23
ro_do,rbn,0,1,3,22_23
bost,am_sh,0,1,4,22_23
am_sh,rbn,0,1,4,22_23
yale,el_ha,0,1,4,22_23
el_ha,rbn,0,1,4,22_23
grem,el_ma,0,1,2,22_23
el_ma,rbn,0,1,2,22_23
kvoo,ky_du,0,1,2,22_23
ky_du,rbn,0,1,2,22_23
kvcw,da_je,0,1,2,22_23
da_je,rbn,0,1,2,22_23
tbro,ja_la,0,1,2,22_23
ja_la,rbn,0,1,2,22_23
brei,om_so,0,1,2,22_23
om_so,rbn,0,1,2,22_23
rbn,aa_lo,0,1,3,22_23
aa_lo,lafc,0,1,3,22_23
rbn,da_je,0,1,3,22_23
da_je,ista,0,1,3,22_23
rbn,za_ry,0,1,3,22_23
za_ry,loufc,0,1,3,22_23
rbn,je_ca,0,1,3,22_23
je_ca,cinc,0,1,3,22_23
rbn,om_so,0,1,3,22_23
om_so,leik,0,1,3,22_23
rbn,ja_la,0,1,4,22_23
ja_la,st_lo,0,1,4,22_23
rbn,pa_kl,0,-1,-1,22_23
pa_kl,hapo,0,-1,-1,22_23
rbn,ja_pe,0,-1,-1,22_23
ja_pe,qrm,0,-1,-1,22_23
rbn,ca_cl,0,1,2,22_23
ca_cl,rbl,0,1,2,22_23
rbn,as_fl,0,1,2,22_23
as_fl,watf,0,1,2,22_23
rbn,to_ed,0,1,2,22_23
to_ed,stok,0,1,2,22_23
rbn,ky_du,0,1,2,22_23
ky_du,kvoo,0,1,2,22_23
rbn,el_ma,0,1,2,22_23
el_ma,grem,0,1,2,22_23
rbn,lu_mo,0,1,2,22_23
lu_mo,danu,0,1,2,22_23
rbl,em_fo,3000000,2,1,23_24
em_fo,rbn,3000000,2,1,23_24
odd,de_gj,1650000,2,1,23_24
de_gj,rbn,1650000,2,1,23_24
malm,no_ei,875000,2,1,23_24
no_ei,rbn,875000,2,1,23_24
depo,ju_mi,730000,2,1,23_24
ju_mi,rbn,730000,2,1,23_24
wake,ro_mi,0,1,3,23_24
ro_mi,rbn,0,1,3,23_24
virg,ai_oc,0,1,4,23_24
ai_oc,rbn,0,1,4,23_24
kvoo,ky_du,0,-1,-1,23_24
ky_du,rbn,0,-1,-1,23_24
watf,jo_hu,0,1,2,23_24
jo_hu,rbn,0,1,2,23_24
rbn,luqu,1350000,2,1,23_24
luqu,fort,1350000,2,1,23_24
rbn,cr_ca,1000000,2,1,23_24
